CustomerKey,FirstName,LastName,FullName,Age,MaritalStatus,Gender,DateFirstPurchase,CustomerCity
11000,Jon,Yang,Jon Yang,53,M,Male,2018-01-19,Rockhampton
11001,Eugene,Huang,Eugene Huang,48,S,Male,2018-01-15,Seaford
11002,Ruben,Torres,Ruben Torres,53,M,Male,2018-01-07,Hobart
11003,Christy,Zhu,Christy Zhu,51,S,Female,2017-12-29,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,45,S,Female,2018-01-23,Wollongong
11005,Julio,Ruiz,Julio Ruiz,48,S,Male,2017-12-30,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,48,S,Female,2018-01-24,Matraville
11007,Marco,Mehta,Marco Mehta,55,M,Male,2018-01-09,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,49,S,Female,2018-01-25,Bendigo
11009,Shannon,Carlson,Shannon Carlson,55,S,Male,2018-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,55,S,Female,2018-01-14,East Brisbane
11011,Curtis,Lu,Curtis Lu,55,M,Male,2017-12-30,East Brisbane
11012,Lauren,Walker,Lauren Walker,46,M,Female,2020-03-16,Bremerton
11013,Ian,Jenkins,Ian Jenkins,45,M,Male,2020-04-13,Lebanon
11014,Sydney,Bennett,Sydney Bennett,51,S,Female,2020-03-23,Redmond
11015,Chloe,Young,Chloe Young,40,S,Female,2020-01-18,Burbank
11016,Wyatt,Hill,Wyatt Hill,40,M,Male,2020-02-09,Imperial Beach
11017,Shannon,Wang,Shannon Wang,75,S,Female,2018-01-12,Sunbury
11018,Clarence,Rai,Clarence Rai,69,S,Male,2018-01-17,Bendigo
11019,Luke,Lal,Luke Lal,41,S,Male,2020-02-12,Langley
11020,Jordan,King,Jordan King,40,S,Male,2019-12-29,Metchosin
11021,Destiny,Wilson,Destiny Wilson,40,S,Female,2020-01-23,Beaverton
11022,Ethan,Zhang,Ethan Zhang,40,M,Male,2020-01-20,Bellingham
